Age,Gender,Budget,Occupants,Duration,Occupation,Personality,WFH,Vehicle,Luggage,Preferred_Floor,Preferred_View
33,1,23489,2,6,0,1,0,0,0,2,Sunrise
41,1,13462,2,6,2,1,0,1,0,1,Sunrise
33,1,21271,1,12,2,0,0,0,0,2,Sunset
19,0,10832,2,1,0,1,1,1,0,1,No sunlight
45,1,22600,2,1,0,0,1,1,1,1,Sunset
49,1,20998,1,1,0,0,1,0,0,1,Sunset
44,0,15954,1,1,1,1,0,0,0,2,Sunrise
37,0,24295,2,1,2,1,1,1,0,2,Sunset
41,0,24294,2,1,1,1,1,1,0,1,Sunset
29,1,20682,2,1,2,0,0,0,1,1,Sunset
52,0,24078,2,1,2,1,0,0,1,1,Sunrise
50,0,18519,1,12,2,1,1,0,1,1,Sunset
